Date,TweetCount
31/03/16,24191
01/04/16,24472
02/04/16,21507
03/04/16,21378
04/04/16,24516
05/04/16,26914
06/04/16,23270
07/04/16,23407
08/04/16,24554
09/04/16,19399
10/04/16,19193
11/04/16,23919
12/04/16,23252
13/04/16,23243
14/04/16,24938
15/04/16,27593
16/04/16,20857
17/04/16,19395
18/04/16,21989
19/04/16,22642
20/04/16,22973
21/04/16,23282
22/04/16,24241
23/04/16,25236
24/04/16,30727
25/04/16,28861
26/04/16,26206
27/04/16,28009
28/04/16,26142
29/04/16,26067
30/04/16,22785
01/05/16,22113
02/05/16,44092
03/05/16,34902
04/05/16,28567
05/05/16,27508
06/05/16,24738
07/05/16,21334
08/05/16,20478
09/05/16,23092
10/05/16,23402
11/05/16,21597
12/05/16,22343
13/05/16,23638
14/05/16,19355
15/05/16,19527
16/05/16,21419
17/05/16,21242
18/05/16,21130
19/05/16,21055
20/05/16,21015
21/05/16,18208
22/05/16,20846
23/05/16,25025
24/05/16,25558
25/05/16,25514
26/05/16,25096
27/05/16,22418
28/05/16,20785
29/05/16,21179
30/05/16,23116
31/05/16,22168
01/06/16,24322
02/06/16,25664
03/06/16,25989
04/06/16,22507
05/06/16,24256
06/06/16,25168
07/06/16,25479
08/06/16,25213
09/06/16,23455
10/06/16,23436
11/06/16,20546
12/06/16,25917
13/06/16,27242
14/06/16,23970
15/06/16,24561
16/06/16,26795
17/06/16,26724
18/06/16,20862
19/06/16,20799
20/06/16,27198
21/06/16,27064
22/06/16,25119
23/06/16,24183
24/06/16,26403
25/06/16,20205
26/06/16,20500
27/06/16,23913
28/06/16,23816
29/06/16,23872
30/06/16,23132
01/07/16,23027
02/07/16,23595
03/07/16,20287
04/07/16,21181
05/07/16,22046
06/07/16,23770
07/07/16,23909
08/07/16,23469
09/07/16,25041
10/07/16,20364
11/07/16,22699
12/07/16,22223
13/07/16,22998
14/07/16,21544
15/07/16,20434
16/07/16,18987
17/07/16,19456
18/07/16,21330
19/07/16,23226
20/07/16,22621
21/07/16,20837
22/07/16,20712
23/07/16,18351
24/07/16,18766
25/07/16,22664
26/07/16,23499
27/07/16,21902
28/07/16,23727
29/07/16,20354
30/07/16,17310
31/07/16,17590
01/08/16,22021
02/08/16,27947
03/08/16,33437
04/08/16,25150
05/08/16,25115
06/08/16,20484
07/08/16,20769
08/08/16,24232
09/08/16,24435
10/08/16,30224
11/08/16,23497
12/08/16,25008
13/08/16,21026
14/08/16,24566
15/08/16,25180
16/08/16,23549
17/08/16,22643
18/08/16,20849
19/08/16,18562
20/08/16,14687
21/08/16,14412
22/08/16,18821
23/08/16,18812
24/08/16,19302
25/08/16,20127
26/08/16,19606
27/08/16,15956
28/08/16,17112
29/08/16,22110
30/08/16,18322
31/08/16,17456
01/09/16,18373
02/09/16,20605
03/09/16,16664
04/09/16,16972
05/09/16,23183
06/09/16,35065
07/09/16,23060
08/09/16,19731
09/09/16,19091
10/09/16,18701
11/09/16,16124
12/09/16,18821
13/09/16,20868
14/09/16,20554
15/09/16,21820
16/09/16,20588
17/09/16,17201
18/09/16,13717
19/09/16,13913
20/09/16,26427
21/09/16,18606
22/09/16,18260
23/09/16,19726
24/09/16,17748
25/09/16,17984
26/09/16,20210
27/09/16,20912
28/09/16,19750
29/09/16,21230
30/09/16,17676
01/10/16,17285
02/10/16,16869
03/10/16,22770
04/10/16,20191
05/10/16,19102
06/10/16,19174
07/10/16,21247
08/10/16,18265
09/10/16,17597
10/10/16,19079
11/10/16,20605
12/10/16,19254
13/10/16,17289
14/10/16,17479
15/10/16,20593
16/10/16,18498
17/10/16,18689
18/10/16,17940
19/10/16,20522
20/10/16,17281
21/10/16,15145
22/10/16,13770
23/10/16,14832
24/10/16,18801
25/10/16,15756
26/10/16,17995
27/10/16,19247
28/10/16,19798
29/10/16,18463
30/10/16,19812
31/10/16,23052
01/11/16,21499
02/11/16,20959
03/11/16,20253
04/11/16,18517
05/11/16,17653
06/11/16,20121
07/11/16,22734
08/11/16,22954
09/11/16,24370
10/11/16,20972
11/11/16,19923
12/11/16,17540
13/11/16,19573
14/11/16,22700
15/11/16,23129
16/11/16,23016
17/11/16,22943
18/11/16,22105
19/11/16,20995
20/11/16,17894
21/11/16,22770
22/11/16,22500
23/11/16,21827
24/11/16,21061
25/11/16,20433
26/11/16,19734
27/11/16,19864
28/11/16,22289
29/11/16,21602
30/11/16,21457
01/12/16,21117
02/12/16,20335
03/12/16,16186
04/12/16,16345
05/12/16,18558
06/12/16,20236
07/12/16,21592
08/12/16,21302
09/12/16,19749
10/12/16,18331
11/12/16,16070
12/12/16,18775
13/12/16,20749
14/12/16,21101
15/12/16,19341
16/12/16,19242
17/12/16,18364
18/12/16,18930
19/12/16,25718
20/12/16,22945
21/12/16,25531
22/12/16,27288
23/12/16,29448
24/12/16,22045
25/12/16,17925
26/12/16,19894
27/12/16,22525
28/12/16,24151
29/12/16,22502
30/12/16,18971
31/12/16,18483
01/01/17,21071
02/01/17,26461
03/01/17,27269
04/01/17,31611
05/01/17,33407
06/01/17,29065
07/01/17,22717
08/01/17,19595
09/01/17,23277
10/01/17,22918
11/01/17,29228
12/01/17,30387
13/01/17,28785
14/01/17,22367
15/01/17,22232
16/01/17,24103
17/01/17,25648
18/01/17,26491
19/01/17,27848
20/01/17,23365
21/01/17,20833
22/01/17,20816
23/01/17,24809
24/01/17,28304
25/01/17,27278
26/01/17,24366
27/01/17,23178
28/01/17,21300
29/01/17,20789
30/01/17,27170
31/01/17,23711
01/02/17,22600
02/02/17,23547
03/02/17,26694
