Date,Price,Open,High,Low
2021-10-07,3586.00,3575.43,3650.18,3473.47
2021-10-06,3575.41,3515.35,3627.19,3345.56
2021-10-05,3517.26,3383.32,3540.83,3365.28
2021-10-04,3382.90,3417.26,3436.34,3273.22
2021-10-03,3417.34,3388.83,3485.48,3346.63
2021-10-02,3388.97,3309.14,3467.95,3265.97
2021-10-01,3309.13,2999.86,3329.32,2972.75
2021-09-30,3000.59,2851.06,3047.08,2837.68
2021-09-29,2851.50,2807.15,2948.50,2784.66
2021-09-28,2807.28,2926.04,2969.18,2791.42
2021-09-27,2926.24,3061.86,3163.86,2926.24
2021-09-26,3063.51,2922.47,3113.65,2740.12
2021-09-25,2922.55,2928.59,2965.48,2812.70
2021-09-24,2928.57,3152.92,3158.38,2740.06
2021-09-23,3152.92,3077.80,3173.00,3035.96
2021-09-22,3077.78,2764.71,3087.97,2740.58
2021-09-21,2761.52,2976.70,3101.88,2659.71
2021-09-20,2976.05,3328.49,3344.04,2931.64
2021-09-19,3329.12,3435.92,3455.67,3282.85
2021-09-18,3435.97,3398.55,3539.50,3371.33
2021-09-17,3398.65,3569.92,3592.20,3352.32
2021-09-16,3569.43,3612.23,3672.68,3488.53
2021-09-15,3611.90,3430.36,3612.29,3361.63
2021-09-14,3428.87,3284.65,3428.87,3270.91
2021-09-13,3284.52,3408.17,3429.24,3118.66
2021-09-12,3408.28,3267.33,3469.50,3231.87
2021-09-11,3267.33,3209.37,3345.37,3202.41
2021-09-10,3207.27,3423.87,3512.90,3156.28
2021-09-09,3423.51,3498.92,3564.30,3395.94
2021-09-08,3495.10,3424.35,3557.67,3221.60
2021-09-07,3423.12,3926.84,3945.79,3061.30
2021-09-06,3927.21,3950.20,3968.20,3867.55
2021-09-05,3950.62,3885.40,3981.22,3834.74
2021-09-04,3884.97,3938.45,3968.33,3844.07
2021-09-03,3936.29,3785.85,4024.89,3715.97
2021-09-02,3786.19,3826.90,3833.89,3723.42
2021-09-01,3832.73,3429.65,3839.91,3384.82
2021-08-31,3430.74,3228.23,3467.42,3191.34
2021-08-30,3225.67,3222.43,3345.72,3145.53
2021-08-29,3222.16,3243.96,3282.21,3155.31
2021-08-28,3243.90,3273.78,3284.58,3212.24
2021-08-27,3273.58,3093.78,3279.93,3063.37
2021-08-26,3093.54,3228.03,3249.62,3057.48
2021-08-25,3228.15,3172.12,3247.43,3080.70
2021-08-24,3173.26,3322.60,3357.99,3150.75
2021-08-23,3319.49,3238.41,3375.42,3231.96
2021-08-22,3238.70,3224.17,3271.94,3128.98
2021-08-21,3223.96,3285.12,3307.33,3200.19
2021-08-20,3284.21,3184.83,3300.36,3179.18
2021-08-19,3184.82,3016.92,3185.51,2962.04
